id,x,y,exit_velocity,launch_angle,type,hr_distance
1,542,444,95.9,24,HR,364
2,564,414,100.9,28,HR,369
3,542,320,104.9,30,HR,422
4,576,340,99,25,HR,404
5,536,386,105.2,22,HR,394
6,626,284,107.4,18,HR,416
7,848,182,109.8,18,HR,425
8,810,200,106.3,18,HR,422
9,704,216,112.1,18,HR,430
10,1146,226,102.2,18,HR,412
11,626,284,107.4,21,HR,416
12,1286,282,104.9,19,HR,397
13,954,198,106.9,29,HR,433
14,786,148,113.4,20,HR,434
15,846,248,105,23,HR,395
16,770,254,110.1,21,HR,407
17,728,244,109,18,HR,413
18,614,294,107.7,25,HR,417
19,722,294,105.4,22,HR,399
20,444,388,110.4,18,HR,443
21,496,590,94.8,0.9,FOUL,
22,561,646,73,-3,FOUL,
23,1355,782,79.9,12.8,FOUL,
24,1419,630,91.7,7.2,FOUL,
25,224,498,79.6,-4.4,FOUL,
26,1466,561,89.6,7.9,FOUL,
27,349,749,71.7,5.8,FOUL,
28,1019,1124,85,15.4,FOUL,
29,478,703,84,-6.9,FOUL,
30,350,577,86.8,2,FOUL,
31,1419,777,89.7,-3.6,FOUL,
32,1001,1214,89.5,2.6,FOUL,
33,1412,680,84.9,8.5,FOUL,
34,430,844,93.6,7.9,FOUL,
35,550,585,74.9,8.7,FOUL,
36,373,515,88.2,14.6,FOUL,
37,694,914,70.6,19.1,FOUL,
38,1494,700,80.4,-3.4,FOUL,
39,1349,986,70.1,4.4,FOUL,
40,1285,787,84.7,-5.8,FOUL,
41,529,649,71.2,-4,FOUL,
42,544,710,92.1,-2.6,FOUL,
43,506,542,92.9,3.6,FOUL,
44,1307,865,75.6,4,FOUL,
45,452,676,92.2,-8.8,FOUL,
46,568,730,79.8,8.3,FOUL,
47,665,943,71.5,15.6,FOUL,
48,1505,533,82.5,3.4,FOUL,
49,517,561,76.2,18.4,FOUL,
50,399,536,84.1,9.2,FOUL,
51,1357,744,73.2,3.5,FOUL,
52,1306,1018,92.4,-7.2,FOUL,
53,554,688,94.2,5.7,FOUL,
54,375,422,85.8,2.1,FOUL,
55,1270,855,77.3,19.3,FOUL,
56,810,935,90.1,-2.5,FOUL,
57,1583,766,76,4.1,FOUL,
58,465,625,72.5,8.2,FOUL,
59,383,623,78.5,5.4,FOUL,
60,1452,604,82.6,3.8,FOUL,
61,716,847,80.6,2.3,FOUL,
62,479,763,94.1,11.2,FOUL,
63,438,776,75.1,-3.7,FOUL,
64,642,851,93,-7.9,FOUL,
65,511,706,83.3,-2.7,FOUL,
66,281,641,91.7,-3.5,FOUL,
67,1161,1026,82.2,3.2,FOUL,
68,621,756,70.1,5,FOUL,
69,516,815,81.7,5.7,FOUL,
70,1586,647,74.2,11.2,FOUL,
71,680,855,91.7,0.2,FOUL,
72,528,604,76.7,12.1,FOUL,
73,806,967,87.2,2.5,FOUL,
74,437,716,90.6,10.3,FOUL,
75,566,786,71.1,8.4,FOUL,
76,391,716,94.2,8,FOUL,
77,1130,1049,80,2.2,FOUL,
78,599,683,70,-1.6,FOUL,
79,363,445,93.9,5.8,FOUL,
80,600,773,92.2,1.4,FOUL,
81,759,1050,78.7,16,FOUL,
82,1404,958,70.1,15.7,FOUL,
83,593,624,85.2,14,FOUL,
84,482,548,89.7,2.5,FOUL,
85,568,891,82.5,12.9,FOUL,
86,1242,965,73.3,19.2,FOUL,
87,754,907,72.9,0.3,FOUL,
88,1381,825,72.1,16.2,FOUL,
89,608,663,71.3,16.2,FOUL,
90,1519,692,93.7,7.9,FOUL,
91,915,1121,75.7,18.4,FOUL,
92,495,651,82.4,17.9,FOUL,
93,1373,688,93.2,-0.4,FOUL,
94,1433,584,83.4,-8.5,FOUL,
95,580,673,94.4,-4.9,FOUL,
96,562,608,85,15.5,FOUL,
97,566,845,73,3.6,FOUL,
98,822,1079,82,-7.8,FOUL,
99,414,674,78,-8.3,FOUL,
100,584,676,88,17,FOUL,
101,1541,547,80.9,-2.3,FOUL,
102,1342,945,73.8,-8.9,FOUL,
103,441,631,87.3,-0.2,FOUL,
104,1289,827,85.8,-6.8,FOUL,
105,707,809,91.2,17.6,FOUL,
106,550,672,83.5,-7.4,FOUL,
107,1591,535,84.8,-9,FOUL,
108,1588,510,81,15.2,FOUL,
109,595,814,90.3,8.2,FOUL,
110,543,1005,74.5,-9.7,FOUL,
111,533,959,76.2,0.4,FOUL,
112,390,463,71.1,17,FOUL,
113,1326,756,87.3,17.7,FOUL,
114,603,707,80.6,19.3,FOUL,
115,1535,595,75.1,3.3,FOUL,
116,665,789,79.1,15.7,FOUL,
117,259,543,86.5,13.3,FOUL,
118,1384,640,88.3,13,FOUL,
119,1521,925,76.6,-0.6,FOUL,
120,633,779,70.3,-6.9,FOUL,
121,520,765,77.7,19.2,FOUL,
122,477,683,91.9,3.8,FOUL,
123,335,483,71.4,17,FOUL,
124,424,524,74.6,-3.4,FOUL,
