id,x,y,exit_velocity,launch_angle,type,hr_distance
1,518,352,110.6,24,HR,433
2,580,366,103.7,28,HR,410
3,622,384,108.7,31,HR,379
4,636,286,111,25,HR,427
5,750,254,107.7,22,HR,416
6,778,162,110,18,HR,468
7,978,148,113.7,18,HR,456
8,814,152,115.5,18,HR,467
9,964,192,108.7,18,HR,419
10,1132,230,106.8,18,HR,428
11,996,188,110.4,19,HR,393
12,1364,296,107.1,20,HR,404
13,1306,324,106,23,HR,378
14,1350,344,111.3,22,HR,388
15,466,608,94.8,0.9,FOUL,
16,565,660,73,-3,FOUL,
17,1335,794,79.9,12.8,FOUL,
18,1535,692,91.7,7.2,FOUL,
19,284,516,79.6,-4.4,FOUL,
20,1458,571,89.6,7.9,FOUL,
21,1033,1106,85,15.4,FOUL,
22,1378,795,84,-6.9,FOUL,
23,898,1097,86.8,2,FOUL,
24,971,1240,89.5,2.6,FOUL,
25,468,708,84.9,8.5,FOUL,
26,1040,1141,74.9,8.7,FOUL,
27,483,551,88.2,14.6,FOUL,
28,958,1106,70.6,19.1,FOUL,
29,570,700,80.4,-3.4,FOUL,
30,1277,948,70.1,4.4,FOUL,
31,1285,787,84.7,-5.8,FOUL,
32,507,675,71.2,-4,FOUL,
33,1506,840,92.1,-2.6,FOUL,
34,1390,694,92.9,3.6,FOUL,
35,1329,865,75.6,4,FOUL,
36,1418,612,92.2,-8.8,FOUL,
37,1416,668,79.8,8.3,FOUL,
38,733,983,71.5,15.6,FOUL,
39,1517,747,82.5,3.4,FOUL,
40,1443,687,76.2,18.4,FOUL,
41,399,564,84.1,9.2,FOUL,
42,623,876,73.2,3.5,FOUL,
43,1350,834,92.4,-7.2,FOUL,
44,1424,760,94.2,5.7,FOUL,
45,487,522,85.8,2.1,FOUL,
46,1310,845,77.3,19.3,FOUL,
47,810,935,90.1,-2.5,FOUL,
48,651,759,72.5,8.2,FOUL,
49,1429,925,78.5,5.4,FOUL,
50,486,634,82.6,3.8,FOUL,
51,616,701,80.6,2.3,FOUL,
52,481,889,94.1,11.2,FOUL,
53,1446,540,75.1,-3.7,FOUL,
54,525,788,83.3,-2.7,FOUL,
55,457,781,91.7,-3.5,FOUL,
56,1129,1098,82.2,3.2,FOUL,
57,539,724,70.1,5,FOUL,
58,422,607,81.7,5.7,FOUL,
59,422,879,91.7,0.2,FOUL,
60,490,688,76.7,12.1,FOUL,
61,806,967,87.2,2.5,FOUL,
62,429,712,90.6,10.3,FOUL,
63,452,652,71.1,8.4,FOUL,
64,401,680,94.2,8,FOUL,
65,1096,1069,80,2.2,FOUL,
66,623,739,70,-1.6,FOUL,
67,325,491,93.9,5.8,FOUL,
68,606,855,92.2,1.4,FOUL,
69,772,984,70.1,15.7,FOUL,
70,603,644,85.2,14,FOUL,
71,558,746,89.7,2.5,FOUL,
72,612,663,82.5,12.9,FOUL,
73,1230,943,73.3,19.2,FOUL,
74,586,863,72.9,0.3,FOUL,
75,1401,831,72.1,16.2,FOUL,
76,664,801,71.3,16.2,FOUL,
77,579,956,93.7,7.9,FOUL,
78,915,1121,75.7,18.4,FOUL,
79,521,731,82.4,17.9,FOUL,
80,487,782,93.2,-0.4,FOUL,
81,1427,578,83.4,-8.5,FOUL,
82,594,725,94.4,-4.9,FOUL,
83,576,618,85,15.5,FOUL,
84,634,781,73,3.6,FOUL,
85,720,843,82,-7.8,FOUL,
86,412,650,78,-8.3,FOUL,
87,566,730,88,17,FOUL,
88,479,745,80.9,-2.3,FOUL,
89,1512,915,73.8,-8.9,FOUL,
90,1487,939,85.8,-6.8,FOUL,
91,525,761,91.2,17.6,FOUL,
92,677,771,91.9,3.8,FOUL,
93,487,713,71.4,17,FOUL,
94,600,644,74.6,-3.4,FOUL,
